city,company,country,date,jobkey,jobtitle,latitude,longitude,state,url,excel,sql,mysql,python,java,c++,sas,matlab,php,perl,hadoop,hive,spss,linux_unix,bachelor,master,phd
Cleveland,Airgas Inc.,US,2014-08-26 21:19:43,4e22b4506ed4834e,Data Analyst - SAP ABAP,41.497253,-81.69231,OH,http://www.indeed.com/viewjob?jk=4e22b4506ed4834e&qd=MxQEkSlos1GEjU62O1KFoRQw54NvLaDNxEJ5HB_yo9IzKNHijS7kTjt4KmPZaQ54tR1Zys_YS33zV-EIckb4SoCHEdfyMkuNX3qwb0phha4&indpubnum=4889224015872296&atk=190a5h1qm1d4h78a,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Radnor,Airgas Inc.,US,2014-08-26 21:19:43,67e86d5803e41304,Data Analyst - SAP ABAP,40.043957,-75.35714,PA,http://www.indeed.com/viewjob?jk=67e86d5803e41304&qd=MxQEkSlos1GEjU62O1KFoRQw54NvLaDNxEJ5HB_yo9JBy2QeS2uKGSlme_PhyJLGmPkNxTj973naemBASyztlyFv9hTfj3LC5rfMCG2D_sI&indpubnum=4889224015872296&atk=190a5iuh71d324ip,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Florham Park,"Managed Health Care Associates, Inc.",US,2014-08-26 21:00:51,970f4dff3e6fdcd8,Data Analyst/Personal Account Representative- Navigator,40.774727,-74.39011,NJ,http://www.indeed.com/viewjob?jk=970f4dff3e6fdcd8&qd=MxQEkSlos1GEjU62O1KFoRQw54NvLaDNxEJ5HB_yo9IuoauPq75eD-dhOEz8DE_n8gtCm65lPbNJ01qX1cWx2UoskdDmAdFiBqe4FPyvqEI&indpubnum=4889224015872296&atk=190a5e2l31d523nd,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Vancouver,Southwest Washington Behavioral Health,US,2014-08-26 21:00:21,746b4551bb94cda4,IS & IT Data Analyst,45.71154,-122.59341,WA,http://www.indeed.com/viewjob?jk=746b4551bb94cda4&qd=MxQEkSlos1GEjU62O1KFoRQw54NvLaDNxEJ5HB_yo9L3eGb1R6djEvbLTasqTfyz4Z0r1R5zmkNbj4VOJWHLHFjMuIZOSm00Jj-u8fFXwhc&indpubnum=4889224015872296&atk=190a5oq3v1d526ee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cranford,Partners Pharmacy,US,2014-08-26 21:00:20,eb4b369c2373a9e4,Application Support Specialist - CS,40.653847,-74.3022,NJ,http://www.indeed.com/viewjob?jk=eb4b369c2373a9e4&qd=MxQEkSlos1GEjU62O1KFoRQw54NvLaDNxEJ5HB_yo9IuoauPq75eD-dhOEz8DE_n8gtCm65lPbNJ01qX1cWx2UoskdDmAdFiBqe4FPyvqEI&indpubnum=4889224015872296&atk=190a5e2l31d523nd,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Springfield,Raytheon,US,2014-08-26 20:52:09,eef32999f3d2aa99,Principal Cyber Engineer,38.78846,-77.18681,VA,http://www.indeed.com/viewjob?jk=eef32999f3d2aa99&qd=MxQEkSlos1GEjU62O1KFoRQw54NvLaDNxEJ5HB_yo9JJuNxUwSX-dwk-w0wHXusNOEyi7Ig2BiUiTPzAZ8bhd7u7ogirHcm_QTCvt4Vb73w&indpubnum=4889224015872296&atk=190a525q01d425rv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Piscataway,Carroll Technology Services,US,2014-08-26 20:45:15,a0203234349ecce6,Contract SQL data Analyst,40.497253,-74.39561,NJ,http://www.indeed.com/viewjob?jk=a0203234349ecce6&qd=MxQEkSlos1GEjU62O1KFoRQw54NvLaDNxEJ5HB_yo9IuoauPq75eD-dhOEz8DE_n8gtCm65lPbNJ01qX1cWx2YZjawTUSu96TVCP4nxnY7U&indpubnum=4889224015872296&atk=190a5e3sg1d2h5q9,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Charlotte,TEKsystems,US,2014-08-26 20:22:22,50da9c9d28ea2bd6,DATA MODELER,35.225273,-80.84066,NC,http://www.indeed.com/viewjob?jk=50da9c9d28ea2bd6&qd=MxQEkSlos1GEjU62O1KFoRQw54NvLaDNxEJ5HB_yo9I7mSQq4nfhItdpLIhAcQhv5b84G9kPk0ZXIu9oaLz88lO0Pmg2DxQtLM_69ugIucM&indpubnum=4889224015872296&atk=190a5fu6v1d7254h,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Phoenix,ConsultUSA,US,2014-08-26 20:18:25,1fb033dfb99eacd6,Data Analyst,33.447803,-112.07143,AZ,http://www.indeed.com/viewjob?jk=1fb033dfb99eacd6&qd=MxQEkSlos1GEjU62O1KFoRQw54NvLaDNxEJ5HB_yo9KrTuu6tw4ei6gHgAFnSzvzezxp6HtNeobRzrUgmyplQF_Myy4wCqX-EwAvADjOM-E&indpubnum=4889224015872296&atk=190a4vsmp1d3117a,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Research Triangle Park,"Alphanumeric Systems, Inc",US,2014-08-26 20:07:57,c2dedefe9ef3e542,Data Analyst - SQL Queries,35.895603,-78.85714,NC,http://www.indeed.com/viewjob?jk=c2dedefe9ef3e542&qd=MxQEkSlos1GEjU62O1KFoRQw54NvLaDNxEJ5HB_yo9I7mSQq4nfhItdpLIhAcQhv5b84G9kPk0ZXIu9oaLz88lO0Pmg2DxQtLM_69ugIucM&indpubnum=4889224015872296&atk=190a5ftv71d4i46j,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mount Vernon,Exodus Integrity Services,US,2014-08-26 20:04:16,3da591922766cb52,Web Data Analyst,40.392857,-82.48351,OH,http://www.indeed.com/viewjob?jk=3da591922766cb52&qd=MxQEkSlos1GEjU62O1KFoRQw54NvLaDNxEJ5HB_yo9IzKNHijS7kTjt4KmPZaQ54tR1Zys_YS33zV-EIckb4Sl4v1r9IRXxZu2l8KPe2HsM&indpubnum=4889224015872296&atk=190a5h18s1d526ga,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Anaheim,"Evriholder Products, Inc.",US,2014-08-26 19:58:26,b6ae20a2567dc641,Inventory Forescast Analyst,33.835163,-117.90659,CA,http://www.indeed.com/viewjob?jk=b6ae20a2567dc641&qd=MxQEkSlos1GEjU62O1KFoRQw54NvLaDNxEJ5HB_yo9KhckHN80-uURCmMV-ouodrGp6jym_krcGFaWElJybt0fWjcEjh4gTkJgkG9GZHrA4&indpubnum=4889224015872296&atk=190a50knm1d4i0gs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Suffern,LS Direct Marketing,US,2014-08-26 19:58:26,d8827c4da207b0c9,Data Analyst - Retail,41.126373,-74.10989,NY,http://www.indeed.com/viewjob?jk=d8827c4da207b0c9&qd=MxQEkSlos1GEjU62O1KFoRQw54NvLaDNxEJ5HB_yo9KUPDXN_D2AI1pADZ5diohv_MQgRfwuc1MYwhqfMjIoKI2U3QTJPT2CgyG-_EbbzWE&indpubnum=4889224015872296&atk=190a5f9401d4i2jj,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Atlanta,"ARROW EXTERMINATORS , Inc",US,2014-08-26 19:55:14,33b02952129d4028,Customer Care Data Analyst - Atlanta,33.747253,-84.38461,GA,http://www.indeed.com/viewjob?jk=33b02952129d4028&qd=MxQEkSlos1GEjU62O1KFoRQw54NvLaDNxEJ5HB_yo9LNwCtnSNwkyNdqADMRsp0qGPnusQxy_m1-iys11mXFOK40qiRV4FsQIjhNKSvSW2Q&indpubnum=4889224015872296&atk=190a53kfn1d514e5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
