city,company,country,date,jobkey,jobtitle,latitude,longitude,state,url,excel,sql,mysql,python,java,c++,sas,matlab,php,perl,hadoop,hive,spss,linux_unix,bachelor,master,phd
Danville,Okaya G,US,2014-08-27 03:13:33,1b127a5a0a8c22cd,Healthcare Data Architect,40.972527,-76.60989,PA,http://www.indeed.com/viewjob?jk=1b127a5a0a8c22cd&qd=MxQEkSlos1GEjU62O1KFoaXSpHnWjzy9VNCx4OPoJgLyQ_HFsv8kF1QaiKixNYtA8IbQQrPxBEefulVF1BOjE1fyJQwW-FdLyxP2rgUDqVA&indpubnum=4889224015872296&atk=190avceod1d5h1u4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nashville,"Sentari Technologies, Inc.",US,2014-08-27 02:21:26,52854dcb26d6588e,SOLUTIONS ARCHITECT,36.162086,-86.78571,TN,http://www.indeed.com/viewjob?jk=52854dcb26d6588e&qd=MxQEkSlos1GEjU62O1KFoaXSpHnWjzy9VNCx4OPoJgKqDxG_WpkoMGaA19gqhYMJCRbvhcrfsQbmqKuL6LlgB0zvI4DIJ8478GlcAn1ATe8&indpubnum=4889224015872296&atk=190avemhl1d624jq,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas City,Genesis10,US,2014-08-27 02:21:22,f7115d4d0451ea56,Senior Data Architect,39.10165,-94.57692,MO,http://www.indeed.com/viewjob?jk=f7115d4d0451ea56&qd=MxQEkSlos1GEjU62O1KFoaXSpHnWjzy9VNCx4OPoJgI3qehYAH_Optfk6KLFyD_RYHVUZPMg11P_wHp6QJH9t0J-vGPfrlBdeOLzcqrLcmo&indpubnum=4889224015872296&atk=190av3pfg1d426na,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
East Hartford,iTech Solutions,US,2014-08-27 02:19:52,d0ad4c53e8993631,SQL Server Administrator / SQL Server Developer,41.774727,-72.62088,CT,http://www.indeed.com/viewjob?jk=d0ad4c53e8993631&qd=MxQEkSlos1GEjU62O1KFoaXSpHnWjzy9VNCx4OPoJgKkajlBcrs1bnBcg7PzrrAG7PIkoQHPjcmwlafYig2n9PeeM95w73ce_uLDvxG0pEM&indpubnum=4889224015872296&atk=190auprfn1d520fu,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0
Hartford,iTech Solutions,US,2014-08-27 02:19:52,459b98798a0e81b5,Senior Data Architect - Contract to Hire,41.763737,-72.68132,CT,http://www.indeed.com/viewjob?jk=459b98798a0e81b5&qd=MxQEkSlos1GEjU62O1KFoaXSpHnWjzy9VNCx4OPoJgKkajlBcrs1bnBcg7PzrrAG7PIkoQHPjcmwlafYig2n9P1Af4ahZVWuT_DNyOM6fwg&indpubnum=4889224015872296&atk=190auprkg1d3i5n5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Hartford,iTech Solutions,US,2014-08-27 02:19:52,7b6f27d31ce0923b,Information Architect / Data Architect - Contract to Hire,41.766483,-72.67033,CT,http://www.indeed.com/viewjob?jk=7b6f27d31ce0923b&qd=MxQEkSlos1GEjU62O1KFoaXSpHnWjzy9VNCx4OPoJgKkajlBcrs1bnBcg7PzrrAG7PIkoQHPjcmwlafYig2n9P1Af4ahZVWuT_DNyOM6fwg&indpubnum=4889224015872296&atk=190auprkg1d3i5n5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Harrison,iTech Solutions,US,2014-08-27 02:19:51,431395c7e93eefd0,Data Warehouse Data Architect for Direct Hire (130-150K) - Must have P&C Insurance Background,41.032967,-73.74176,NY,http://www.indeed.com/viewjob?jk=431395c7e93eefd0&qd=MxQEkSlos1GEjU62O1KFoaXSpHnWjzy9VNCx4OPoJgINIXMm_D4EVEhe_boMh9Ldj2HOHjYJrw2nRAYMhkqVUSbI8LY2ySMhtz72tgfpayY1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4889224015872296&atk=190av917l1d4i7t5,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Township of Warren,RMS Computer Corp.,US,2014-08-27 02:18:28,86fe62dabf5dc3da,Sr Data Architect,40.62912,-74.50549,NJ,http://www.indeed.com/viewjob?jk=86fe62dabf5dc3da&qd=MxQEkSlos1GEjU62O1KFoaXSpHnWjzy9VNCx4OPoJgKq2gdfsJzKb-RzMJ4iKJKkRdrh7ENTtFp56hl1LhhNVnFUnVxgKygY4UW_xpSFq0Q&indpubnum=4889224015872296&atk=190av7crt1d425la,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Raleigh,INC Research,US,2014-08-27 01:46:07,01e66212a2a46f7f,MDM Designer,35.771976,-78.63736,NC,http://www.indeed.com/viewjob?jk=01e66212a2a46f7f&qd=MxQEkSlos1GEjU62O1KFoaXSpHnWjzy9VNCx4OPoJgIwkKnakrZkwDsDPerIcM_jwtxGgy7SWBO7KVhJTaR-eO97BJwvvEvFsT_vljWWmnE&indpubnum=4889224015872296&atk=190av9ice1d6h3o7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
New York,FILD,US,2014-08-27 01:29:33,c0729d5cc42936c8,Data Architect – HP Vertica – Heavily Data Driven Company,40.71154,-74.00549,NY,http://www.indeed.com/viewjob?jk=c0729d5cc42936c8&qd=MxQEkSlos1GEjU62O1KFoaXSpHnWjzy9VNCx4OPoJgINIXMm_D4EVEhe_boMh9Ldj2HOHjYJrw2nRAYMhkqVUSbI8LY2ySMhtz72tgfpayY1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4889224015872296&atk=190av917l1d4i7t5,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Franklin,Kelly Services,US,2014-08-27 00:59:21,cc25b043fe53723e,Technical BA,35.925823,-86.8022,TN,http://www.indeed.com/viewjob?jk=cc25b043fe53723e&qd=MxQEkSlos1GEjU62O1KFoaXSpHnWjzy9VNCx4OPoJgKqDxG_WpkoMGaA19gqhYMJCRbvhcrfsQbmqKuL6LlgB0zvI4DIJ8478GlcAn1ATe8&indpubnum=4889224015872296&atk=190avemhl1d624jq,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
New York,Matrix Technology Group,US,2014-08-27 00:40:31,162f1702ca62591c,Big Data Architect,40.75,-73.99451,NY,http://www.indeed.com/viewjob?jk=162f1702ca62591c&qd=MxQEkSlos1GEjU62O1KFoaXSpHnWjzy9VNCx4OPoJgINIXMm_D4EVEhe_boMh9Ldj2HOHjYJrw2nRAYMhkqVUcKSadTR57Efi7qXfh8OS_81Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4889224015872296&atk=190av90pu1d3i0tj,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0
Township of Warren,"SANS Consulting Services, Inc",US,2014-08-27 00:40:28,4bb6193b17659480,Data Architect - Data Warehouses (30+ TB),40.62912,-74.50549,NJ,http://www.indeed.com/viewjob?jk=4bb6193b17659480&qd=MxQEkSlos1GEjU62O1KFoaXSpHnWjzy9VNCx4OPoJgKq2gdfsJzKb-RzMJ4iKJKkRdrh7ENTtFp56hl1LhhNVnFUnVxgKygY4UW_xpSFq0Q&indpubnum=4889224015872296&atk=190av7d2l1d624mg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Chicago,Gantec Corporation,US,2014-08-27 00:40:26,9f38a5be301d24e8,Etl Data Architect,41.884617,-87.62088,IL,http://www.indeed.com/viewjob?jk=9f38a5be301d24e8&qd=MxQEkSlos1GEjU62O1KFoaXSpHnWjzy9VNCx4OPoJgJwM65vh4FXjUU8eRYlOTxPT_d39VondbnUqveOKM6or_Ta0FkIvv39RjZ89UezAr0&indpubnum=4889224015872296&atk=190ausn4t1d522v3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Kansas City,"Object Technology Solutions, Inc.",US,2014-08-27 00:40:26,1630447130d9e528,"Sr. Data Architect, ETL, Data Modeling",39.10165,-94.56593,MO,http://www.indeed.com/viewjob?jk=1630447130d9e528&qd=MxQEkSlos1GEjU62O1KFoaXSpHnWjzy9VNCx4OPoJgI3qehYAH_Optfk6KLFyD_RYHVUZPMg11P_wHp6QJH9t0J-vGPfrlBdeOLzcqrLcmo&indpubnum=4889224015872296&atk=190av3pfg1d426na,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
Madison,TeamSoft,US,2014-08-27 00:40:26,af38ac4cd8d33c01,Data Architect/Data Designer,43.076923,-89.37363,WI,http://www.indeed.com/viewjob?jk=af38ac4cd8d33c01&qd=MxQEkSlos1GEjU62O1KFoaXSpHnWjzy9VNCx4OPoJgIE77twd7qIUEyRsqZApjqgCRbvhcrfsQbmqKuL6LlgB81NFUDxO5CVY5zzLYFKK5s&indpubnum=4889224015872296&atk=190avik471d413jc,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
