city,company,country,date,jobkey,jobtitle,latitude,longitude,state,url,excel,sql,mysql,python,java,c++,sas,matlab,php,perl,hadoop,hive,spss,linux_unix,bachelor,master,phd
New York,W.R. Rosato & Associates LLC,US,2014-08-26 21:00:57,27d3c4aaa01356f1,IT Data Scientist - Associate Director,40.703297,-74.01099,NY,http://www.indeed.com/viewjob?jk=27d3c4aaa01356f1&qd=MxQEkSlos1GEjU62O1KFoROlzccaG-FY7dpXVJEaBOA3HT7moDE5MXb2ksSw5jmTHRHTOzvi3o3W5KzGFyB8yddGI3uK7HlxeWl65cxAO4E1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4889224015872296&atk=190a4btn71d327tq,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1
Bridgewater,QuaEra Insights,US,2014-08-26 20:57:56,16864d0e4ebf0e82,Data Scientist,40.59066,-74.61539,NJ,http://www.indeed.com/viewjob?jk=16864d0e4ebf0e82&qd=MxQEkSlos1GEjU62O1KFoROlzccaG-FY7dpXVJEaBOAzhPAgPyiO97AycZBcwAsEJMiaGEvo1x5e83xO_58lIE9VUHvDBS8srP-is6g4glw&indpubnum=4889224015872296&atk=190a4b6t61d6i21n,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0
Chicago,Jobspring Partners,US,2014-08-26 20:43:17,f6caf5c76c5caee6,Data Scientist,41.8489,-87.64835,IL,http://www.indeed.com/viewjob?jk=f6caf5c76c5caee6&qd=MxQEkSlos1GEjU62O1KFoROlzccaG-FY7dpXVJEaBOBhSgTLrMbqPNFHfS-AfhDcpLI8tba4oG0ODuhoiOEz14aCEPxGlMs8Bo-AK1fw0zY&indpubnum=4889224015872296&atk=190a455sg1d6i64s,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
Austin,BlackLocus,US,2014-08-26 20:15:42,23b026bb947e174d,Data Scientist,30.26923,-97.74176,TX,http://www.indeed.com/viewjob?jk=23b026bb947e174d&qd=MxQEkSlos1GEjU62O1KFoROlzccaG-FY7dpXVJEaBOBg-YxuthZJPu-ypR83ALf7X0QsVCepWP2zcDl4FgtsbLL4yasKxk1OGcW9L5aFNP0&indpubnum=4889224015872296&atk=190a4g2b01d6h78j,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0
Skillman,Bloomberg,US,2014-08-26 19:28:13,42f4ce0e09d9181a,Senior Data Scientist Job,40.417583,-74.71429,NJ,http://www.indeed.com/viewjob?jk=42f4ce0e09d9181a&qd=MxQEkSlos1GEjU62O1KFoROlzccaG-FY7dpXVJEaBOAzhPAgPyiO97AycZBcwAsEJMiaGEvo1x5e83xO_58lIE9VUHvDBS8srP-is6g4glw&indpubnum=4889224015872296&atk=190a4b6og1d7117t,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0
Denver,StaffPointe,US,2014-08-26 18:22:04,629d91975d8bb57f,Data Scientist (SSAS / R Analytics concentration),39.73901,-104.98351,CO,http://www.indeed.com/viewjob?jk=629d91975d8bb57f&qd=MxQEkSlos1GEjU62O1KFoROlzccaG-FY7dpXVJEaBOCV2xeDUE7AySurylj-xJgF_iqhCf3ipMFW3fe2EA0FOe4xwi0pDltOtqENyU_VZkQ&indpubnum=4889224015872296&atk=190a428f01d41583,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
Bothell,CyberCoders,US,2014-08-26 17:40:04,3d6e944e5634371c,Data Scientist,47.76099,-122.2033,WA,http://www.indeed.com/viewjob?jk=3d6e944e5634371c&qd=MxQEkSlos1GEjU62O1KFoROlzccaG-FY7dpXVJEaBOA4jvYiUPIHmgLG397o-s3_RLxAlX-6kYgeFxLQ7DwE5wuLX3KG_7aLbu2oJOwvcXk&indpubnum=4889224015872296&atk=190a4hn571d6150k,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1
Chicago,Career Brokers,US,2014-08-26 16:04:36,816e1d8ce0dda349,SAS - Data Scientist/Predictive Modeler to $125K + bonus,41.8489,-87.64835,IL,http://www.indeed.com/viewjob?jk=816e1d8ce0dda349&qd=MxQEkSlos1GEjU62O1KFoROlzccaG-FY7dpXVJEaBOBhSgTLrMbqPNFHfS-AfhDcpLI8tba4oG0ODuhoiOEz14aCEPxGlMs8Bo-AK1fw0zY&indpubnum=4889224015872296&atk=190a455sg1d6i64s,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
Arlington,XOR Security,US,2014-08-26 16:01:55,445d3599f0e0c535,Senior Software Developer - Cyber,38.884617,-77.09341,VA,http://www.indeed.com/viewjob?jk=445d3599f0e0c535&qd=MxQEkSlos1GEjU62O1KFoROlzccaG-FY7dpXVJEaBODV-Z4bZRzLD0CzSkNpK8n5qdDgvR1hU6An16tpdL86rFIycG_vbTkrt2Va5SdeKhA1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4889224015872296&atk=190a42uhl1d4h4ro,0,1,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0
Germantown,DataLab USA,US,2014-08-26 15:57:45,4f1e2fa9d582dbc2,Senior Data Scientist/Statistician/Predictive Modeler,39.173077,-77.26923,MD,http://www.indeed.com/viewjob?jk=4f1e2fa9d582dbc2&qd=MxQEkSlos1GEjU62O1KFoROlzccaG-FY7dpXVJEaBODV-Z4bZRzLD0CzSkNpK8n5qdDgvR1hU6An16tpdL86rEBVPyxn-H88GlLe27lKIfE1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4889224015872296&atk=190a42tu61d5i5os,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
New York,Baremetrics,US,2014-08-26 14:04:34,3c8fd6f47e48f1f6,Data Scientist,40.71154,-74.00549,NY,http://www.indeed.com/viewjob?jk=3c8fd6f47e48f1f6&qd=MxQEkSlos1GEjU62O1KFoROlzccaG-FY7dpXVJEaBOA3HT7moDE5MXb2ksSw5jmTHRHTOzvi3o3W5KzGFyB8yddGI3uK7HlxeWl65cxAO4E1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4889224015872296&atk=190a4btcc1d6i7kf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denver,Kaizen Technologies,US,2014-08-26 13:59:57,a5eaf183c68b4700,Data Scientist (R & SSAS),39.673077,-104.96154,CO,http://www.indeed.com/viewjob?jk=a5eaf183c68b4700&qd=MxQEkSlos1GEjU62O1KFoROlzccaG-FY7dpXVJEaBOCV2xeDUE7AySurylj-xJgF_iqhCf3ipMFW3fe2EA0FOe4xwi0pDltOtqENyU_VZkQ&indpubnum=4889224015872296&atk=190a428f01d41583,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0
San Jose,InfoObjects Inc,US,2014-08-26 13:59:53,40e8a12cb10a62e0,Data Scientist (Need local to CA),37.384617,-121.89561,CA,http://www.indeed.com/viewjob?jk=40e8a12cb10a62e0&qd=MxQEkSlos1GEjU62O1KFoROlzccaG-FY7dpXVJEaBOB_EmYJQgTkOR5Ony8rWdSO8JaFtP5SqDufNICGkb6-IKq7Cot2C73NlTjQ8hQgtDI1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4889224015872296&atk=190a41t971d4277f,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0
San Jose,"Saama Technologies, Inc.",US,2014-08-26 13:59:46,ce11b0e8b61a4971,Data Scientist,37.343407,-121.87912,CA,http://www.indeed.com/viewjob?jk=ce11b0e8b61a4971&qd=MxQEkSlos1GEjU62O1KFoROlzccaG-FY7dpXVJEaBOB_EmYJQgTkOR5Ony8rWdSO8JaFtP5SqDufNICGkb6-IGet6j4nQnnerS-FI_053wc1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4889224015872296&atk=190a41u2b1d5i107,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0
Miami,Mehra Innovations,US,2014-08-26 13:59:43,c33ca3e48a8697b3,Data Scientist,25.793957,-80.28571,FL,http://www.indeed.com/viewjob?jk=c33ca3e48a8697b3&qd=MxQEkSlos1GEjU62O1KFoROlzccaG-FY7dpXVJEaBOCYI0nbyjJ2SjkAUpfMUgofdr1ZbyRjjYYtXKg6QVCrjMl3rNNkB66fo0sbUc1BGdg&indpubnum=4889224015872296&atk=190a43m5o1d5h6ck,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1
