city,company,country,date,jobkey,jobtitle,latitude,longitude,state,url,excel,sql,mysql,python,java,c++,sas,matlab,php,perl,hadoop,hive,spss,linux_unix,bachelor,master,phd
Weston,US Tech Solutions Inc.,US,2014-08-27 00:40:13,95da7f0504299de5,Software Developer With Testing,26.10989,-80.36813,FL,http://www.indeed.com/viewjob?jk=95da7f0504299de5&qd=MxQEkSlos1GEjU62O1KFoZh5oYK-lrzFZjNbQgaFsG3FOHkO7VfkfaioM3TQeEH7PLhOlWvSaYtYQmz_h3K1zSVP_s7bPXKiv1GtGeOthcw1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4889224015872296&atk=190b3c0nt1d2h2r2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Medford,Infopeople Corp,US,2014-08-27 00:40:12,7ae5e824d8c6278a,Hadoop Lead,42.417583,-71.10439,MA,http://www.indeed.com/viewjob?jk=7ae5e824d8c6278a&qd=MxQEkSlos1GEjU62O1KFoZh5oYK-lrzFZjNbQgaFsG2WQxiP2TgzFgGQtIKY_Ry9TeYT-3oKkhehNya3GO3AgrhoG6WSPhHrZQhC7P8lrDM1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4889224015872296&atk=190b3hm5k1d3h00j,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0
New York,Robert Half Technology,US,2014-08-26 23:40:40,f97e4df38ad89597,Product Analyst (Consumer Lending),40.70879,-74.01099,NY,http://www.indeed.com/viewjob?jk=f97e4df38ad89597&qd=MxQEkSlos1GEjU62O1KFoZh5oYK-lrzFZjNbQgaFsG3w0wnKtVkePXiMfPSFUG5OdW7PMbUdIabhJ1DMTzQ2O1GsorKMucWQ6sZnul0XrJo1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4889224015872296&atk=190b3n8t31d616ro,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Thousand Oaks,SAGE Publications,US,2014-08-26 20:11:49,d3bf9a172b46edc5,Product Manager,34.17033,-118.83517,CA,http://www.indeed.com/viewjob?jk=d3bf9a172b46edc5&qd=MxQEkSlos1GEjU62O1KFoZh5oYK-lrzFZjNbQgaFsG3HhiBlZ7MZ7tSurxABZt1RVqmBSZiDLcI7vjmVrWBZcViN86Q6R_0eJD_iJ6AiQ8k1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4889224015872296&atk=190b39e4m1d5i535,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Thousand Oaks,SAGE Publications,US,2014-08-26 20:11:49,0fc87ba05c6b5b5e,"Product Analyst, User Experience",34.17033,-118.83517,CA,http://www.indeed.com/viewjob?jk=0fc87ba05c6b5b5e&qd=MxQEkSlos1GEjU62O1KFoZh5oYK-lrzFZjNbQgaFsG3HhiBlZ7MZ7tSurxABZt1RVqmBSZiDLcI7vjmVrWBZcViN86Q6R_0eJD_iJ6AiQ8k1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4889224015872296&atk=190b39e4m1d5i535,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,hCentive,US,2014-08-26 19:26:07,2b85be2e2f306309,QA Functional Tester,,,VA,http://www.indeed.com/viewjob?jk=2b85be2e2f306309&qd=MxQEkSlos1GEjU62O1KFoZh5oYK-lrzFZjNbQgaFsG2kVRwzNIoCu_Mh3KnZfsE2sGE0NuSlS2Y9sVfzSTMlzYQhCRSQzLsdhoWQKzPGLLA&indpubnum=4889224015872296&atk=190b3u50n1d4222c,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
Tampa,JPMorgan Chase,US,2014-08-26 19:23:27,6bf3d1722834cc4f,Sr. Product Analyst PBI-Debit,27.945055,-82.45605,FL,http://www.indeed.com/viewjob?jk=6bf3d1722834cc4f&qd=MxQEkSlos1GEjU62O1KFoZh5oYK-lrzFZjNbQgaFsG3FOHkO7VfkfaioM3TQeEH7PLhOlWvSaYtYQmz_h3K1zSVP_s7bPXKiv1GtGeOthcw1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4889224015872296&atk=190b3c0nt1d2h2r2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Nashville,Pharmacists Association,US,2014-08-26 17:40:37,a759b838ab32dfd1,Senior Product Analyst Clinical,36.164837,-86.78022,TN,http://www.indeed.com/viewjob?jk=a759b838ab32dfd1&qd=MxQEkSlos1GEjU62O1KFoZh5oYK-lrzFZjNbQgaFsG2tk52xyNpQeLNvK8nXZ3xRxliBj5sZeqzGw5sjRWW7jsy-fm3y8T73VEyjtV8i0Io&indpubnum=4889224015872296&atk=190b3s2oh1d2h75l,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlotte,Cognizant,US,2014-08-26 16:49:56,6d409d01ddb12ef0,Retirement Product analyst,35.225273,-80.84066,NC,http://www.indeed.com/viewjob?jk=6d409d01ddb12ef0&qd=MxQEkSlos1GEjU62O1KFoZh5oYK-lrzFZjNbQgaFsG1DyO1f36zUJzIRfmMiC0h-WoQoPsIZ-rDRX-5Vl1h0Whf7Li7YoXq3pyD0mepyRT8&indpubnum=4889224015872296&atk=190b3nqtm1d6i2jd,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Medford,"SmallArc, Inc",US,2014-08-26 13:59:48,41cc7675c521dc22,Lead Bigdata Engineer,42.417583,-71.10439,MA,http://www.indeed.com/viewjob?jk=41cc7675c521dc22&qd=MxQEkSlos1GEjU62O1KFoZh5oYK-lrzFZjNbQgaFsG2WQxiP2TgzFgGQtIKY_Ry9TeYT-3oKkhehNya3GO3AgrhoG6WSPhHrZQhC7P8lrDM1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4889224015872296&atk=190b3hm5k1d3h00j,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0
